stamp_sec,d_origin_m,det_box_m,det_horizon_m,odom_dt_sec,fy_px,horizon_row_px,bbox_x1,bbox_y1,bbox_x2,bbox_y2,cls,score
1756104616.984766,39.960073,38.194444,40.441176,0.000720,550.000,315,128,330,162,366,GuardBoat,0.893550
1756104617.027493,39.960073,37.162162,39.663462,0.043447,550.000,315,128,330,163,367,GuardBoat,0.889183
1756104617.126816,40.147216,38.194444,40.441176,0.041747,550.000,315,128,330,163,366,GuardBoat,0.894130
1756104617.193222,40.334363,37.162162,40.441176,0.009129,550.000,315,128,329,163,366,GuardBoat,0.895954
1756104617.240964,40.521514,38.194444,41.250000,0.043152,550.000,315,128,329,162,365,GuardBoat,0.899332
1756104617.291488,40.521514,38.194444,41.250000,0.007372,550.000,315,129,329,162,365,GuardBoat,0.899249
1756104617.346040,40.708668,38.194444,41.250000,0.038100,550.000,315,129,329,163,365,GuardBoat,0.899158
1756104617.635166,41.257560,39.285714,42.091837,0.049044,550.000,315,129,329,163,364,GuardBoat,0.899813
1756104617.670824,41.257560,39.285714,42.091837,0.013386,550.000,315,129,329,163,364,GuardBoat,0.900952
1756104617.759864,41.454691,39.285714,42.091837,0.024370,550.000,315,129,329,164,364,GuardBoat,0.897519
1756104617.805421,41.454691,39.285714,42.091837,0.021187,550.000,315,130,329,163,364,GuardBoat,0.898438
1756104617.851385,41.641864,39.285714,42.091837,0.031873,550.000,315,130,329,163,364,GuardBoat,0.899080
1756104617.920153,41.641864,39.285714,42.091837,0.036895,550.000,315,131,329,164,364,GuardBoat,0.897130
1756104617.966326,41.829040,39.285714,42.091837,0.016955,550.000,315,131,329,163,364,GuardBoat,0.896709
1756104618.023566,41.829040,39.285714,42.091837,0.040285,550.000,315,130,329,163,364,GuardBoat,0.899726
1756104618.065653,42.016220,39.285714,42.091837,0.017652,550.000,315,131,329,164,364,GuardBoat,0.898919
1756104618.135544,42.200791,40.441176,42.968750,0.047784,550.000,315,131,329,164,363,GuardBoat,0.897252
1756104618.228563,42.200791,40.441176,42.968750,0.045235,550.000,315,131,329,165,363,GuardBoat,0.896177
1756104618.275031,42.387980,41.666667,43.882979,0.008321,550.000,315,131,329,165,362,GuardBoat,0.893910
1756104618.346073,42.572568,40.441176,42.968750,0.037302,550.000,315,132,329,165,363,GuardBoat,0.897375
1756104618.387230,42.572568,40.441176,42.968750,0.003856,550.000,315,132,329,165,363,GuardBoat,0.896123
1756104618.435735,42.759765,40.441176,42.968750,0.047664,550.000,315,132,329,164,363,GuardBoat,0.896166
1756104618.481624,42.759765,41.666667,43.882979,0.001774,550.000,315,132,329,165,362,GuardBoat,0.892333
1756104618.562741,42.944370,41.666667,43.882979,0.020680,550.000,315,132,329,164,362,GuardBoat,0.892373
1756104618.596628,42.944370,41.666667,43.882979,0.013206,550.000,315,132,329,164,362,GuardBoat,0.892178
1756104618.655232,43.128987,40.441176,42.968750,0.027213,550.000,315,132,329,165,363,GuardBoat,0.892988
1756104618.707717,43.128987,41.666667,43.882979,0.025272,550.000,315,132,329,165,362,GuardBoat,0.890705
1756104618.761173,43.326167,40.441176,43.882979,0.021295,550.000,315,133,328,165,362,GuardBoat,0.891237
1756104618.809821,43.326167,40.441176,43.882979,0.027352,550.000,315,133,328,166,362,GuardBoat,0.894608
1756104618.907135,43.510801,41.666667,44.836957,0.024643,550.000,315,134,328,165,361,GuardBoat,0.897378
1756104618.975124,43.695445,41.666667,44.836957,0.007391,550.000,315,134,328,165,361,GuardBoat,0.898052
1756104619.011689,43.695445,41.666667,44.836957,0.029174,550.000,315,134,328,165,361,GuardBoat,0.897226
1756104619.068991,43.882670,41.666667,44.836957,0.013548,550.000,315,134,328,165,361,GuardBoat,0.895648
1756104619.118879,43.882670,41.666667,44.836957,0.036340,550.000,315,134,328,165,361,GuardBoat,0.895772
1756104619.284333,44.264536,41.666667,44.836957,0.001747,550.000,315,134,328,165,361,GuardBoat,0.899287
1756104619.355544,44.451771,41.666667,44.836957,0.027065,550.000,315,135,328,166,361,GuardBoat,0.890651
1756104619.394445,44.451771,41.666667,44.836957,0.011836,550.000,315,135,328,166,361,GuardBoat,0.895749
1756104619.439097,44.636452,41.666667,44.836957,0.042535,550.000,315,135,328,166,361,GuardBoat,0.897496
1756104619.532988,44.833672,41.666667,44.836957,0.048668,550.000,315,136,328,166,361,GuardBoat,0.898073
1756104619.590109,44.833672,42.968750,45.833333,0.008453,550.000,315,136,328,167,360,GuardBoat,0.895410
1756104619.637297,45.020917,42.968750,45.833333,0.044382,550.000,315,136,328,167,360,GuardBoat,0.894941
1756104619.696557,45.020917,42.968750,45.833333,0.014878,550.000,315,136,328,166,360,GuardBoat,0.896359
1756104619.745578,45.205618,42.968750,45.833333,0.036125,550.000,315,136,328,167,360,GuardBoat,0.896325
1756104619.816945,45.205618,42.968750,45.833333,0.035242,550.000,315,136,328,167,360,GuardBoat,0.898672
1756104619.870801,45.392870,42.968750,45.833333,0.010925,550.000,315,136,328,167,360,GuardBoat,0.898200
1756104619.911831,45.392870,42.968750,45.833333,0.030105,550.000,315,136,328,167,360,GuardBoat,0.900032
1756104619.957667,45.590105,42.968750,45.833333,0.024083,550.000,315,136,328,167,360,GuardBoat,0.900228
1756104620.010140,45.590105,42.968750,45.833333,0.028390,550.000,315,136,328,167,360,GuardBoat,0.898498
1756104620.057662,45.774826,42.968750,45.833333,0.024112,550.000,315,136,328,167,360,GuardBoat,0.896599
1756104620.124438,45.774826,42.968750,45.833333,0.042665,550.000,315,136,328,167,360,GuardBoat,0.898782
1756104620.218649,45.962087,42.968750,45.833333,0.036853,550.000,315,137,328,168,360,GuardBoat,0.894121
1756104620.267856,46.146822,42.968750,45.833333,0.013964,550.000,315,137,328,167,360,GuardBoat,0.895736
1756104620.337545,46.146822,42.968750,45.833333,0.055725,550.000,315,137,328,168,360,GuardBoat,0.897419
1756104620.378943,46.334090,42.968750,45.833333,0.001900,550.000,315,137,328,168,360,GuardBoat,0.898051
1756104620.440574,46.334090,44.354839,46.875000,0.059730,550.000,315,137,328,168,359,GuardBoat,0.898316
1756104620.474675,46.334090,44.354839,46.875000,0.093831,550.000,315,137,328,168,359,GuardBoat,0.897198
1756104620.540058,46.713581,44.354839,46.875000,0.040833,550.000,315,138,328,167,359,GuardBoat,0.899163
1756104620.581677,46.713581,44.354839,46.875000,0.000786,550.000,315,138,328,168,359,GuardBoat,0.900279
1756104620.685113,46.898349,44.354839,46.875000,0.004199,550.000,315,138,328,168,359,GuardBoat,0.897935
1756104620.759145,47.085632,44.354839,46.875000,0.021793,550.000,315,138,328,168,359,GuardBoat,0.898535
1756104620.852528,47.270412,44.354839,46.875000,0.028433,550.000,315,138,328,168,359,GuardBoat,0.900351
1756104620.884825,47.270412,45.833333,47.965116,0.003864,550.000,315,138,328,168,358,GuardBoat,0.901303
1756104620.962821,47.465189,44.354839,46.875000,0.018163,550.000,315,139,328,168,359,GuardBoat,0.899621
1756104621.009366,47.465189,44.354839,46.875000,0.028382,550.000,315,139,328,168,359,GuardBoat,0.898681
1756104621.061135,47.649987,44.354839,46.875000,0.019872,550.000,315,139,328,168,359,GuardBoat,0.894865
1756104621.108051,47.649987,44.354839,46.875000,0.027043,550.000,315,139,328,169,359,GuardBoat,0.893917
1756104621.159009,47.847275,45.833333,47.965116,0.021022,550.000,315,139,328,169,358,GuardBoat,0.895261
1756104621.204115,47.847275,45.833333,47.965116,0.024084,550.000,315,139,328,169,358,GuardBoat,0.895397
